_element_key,_element_name,_element_type,_list_child_element_keys
TDR_positivo,TDR_positivo,string,[]
consentimento,consentimento,string,[]
d1,d1,string,[]
d2,d2,string,[]
d3,d3,string,[]
dx_tto,dx_tto,note,[]
ef_adverso,ef_adverso,array,"[""ef_adverso_items""]"
ef_adverso_items,items,string,[]
ef_adveso,ef_adveso,array,"[""ef_adveso_items""]"
ef_adveso_items,items,string,[]
esp_ef_adverso,esp_ef_adverso,string,[]
esp_razao,esp_razao,string,[]
febre,febre,string,[]
id_paciente,id_paciente,string,[]
inelegivel,inelegivel,note,[]
letra_sticker,letra_sticker,string,[]
motivo,motivo,string,[]
n_ronda,n_ronda,integer,[]
numero_sticker,numero_sticker,integer,[]
razao,razao,array,"[""razao_items""]"
razao_items,items,string,[]
refusal_statement,refusal_statement,note,[]
sticker,sticker,string,[]
survey_complete,survey_complete,note,[]
tdr,tdr,string,[]
tem_adverso,tem_adverso,string,[]
tranferencia,tranferencia,string,[]
transf,transf,string,[]
tto_ACT,tto_ACT,string,[]
